z_pen,force_z
-14.239,3.079
-14.167,2.995
-14.035,2.798
-13.834,2.555
-13.65,2.378
-13.335,2.058
-13.058,1.748
-12.891,1.592
-12.398,1.242
-11.959,1.027
-11.685,0.904
-11.206,0.715
-10.293,0.469
-9.016,0.248
-8.272,0.177
-7.399,0.13
-6.81,0.128
-6.034,0.099
-5.582,0.072
-4.977,0.036
-3.944,-0.002
-3.617,-0.009
-2.041,-0.03
-1.344,-0.029
-0.75,-0.018
-0.14,-0.04
0.378,-0.041
1.36,-0.063
1.885,-0.037
2.443,-0.043
3.347,-0.066
4.219,-0.071
4.919,-0.063
6.014,-0.07
6.709,-0.072
7.854,-0.096
9.09,-0.075
9.903,-0.075
11.292,-0.076
12.073,-0.082
13.253,-0.076
13.549,-0.074
14.74,-0.059
15.329,-0.048
16.231,-0.048
16.733,-0.048
17.387,-0.054
18.145,-0.065
19.095,-0.073
20.415,-0.066
21.174,-0.081
21.564,-0.086
22.823,-0.09
23.539,-0.083
24.84,-0.078
26.173,-0.101
27.597,-0.12
29.266,-0.103
31.015,-0.096
